"b_RE[1]","b_RE[2]","b_RE[3]","b_HIV","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]"
1.0634,1.9995,2.1709,1.65,0.247,-0.495,-0.4497,1.3977,0.147,0.6409
1.7225,1.7473,2.4351,1.5306,-0.5447,-0.3677,0.0645,1.4652,-0.0275,0.4253
0.74,1.5383,2.3405,1.7274,-0.0453,-1.0441,-0.5311,1.3766,1.0393,0.6134
2.0151,1.884,3.5091,1.7221,-0.692,-0.5646,-0.4019,1.0666,0.2529,0.4219
1.1326,1.6845,2.91,1.6839,-0.6689,0.3524,-0.5962,1.0163,-0.3888,0.8285
0.9818,1.4468,3.1291,1.6756,-0.1196,-1.0798,-0.091,1.005,0.7634,1.0516
1.8001,1.8346,3.7136,1.312,-0.2261,-0.3269,-0.2927,0.8969,0.1869,0.4657
1.0114,1.7534,3.0349,1.5777,0.3588,-0.9631,-0.2004,1.6309,-0.0771,0.3568
1.3549,1.3257,4.0857,1.1392,-0.3633,-0.427,-0.5391,1.3018,-0.1972,0.4041
1.3044,1.1578,3.3455,1.9217,-0.6597,-0.0027,-0.3539,1.0086,0.036,0.5439
1.482,2.3951,2.6793,1.6164,-0.4666,-0.4819,-0.5478,1.0013,0.4355,0.7023
1.3578,1.4588,3.0577,1.2499,-0.3157,-0.57,-0.2314,1.4233,0.0412,0.2233
1.6104,2.0654,3.107,1.1344,-0.4457,-0.7442,-0.1678,0.7949,0.4283,0.263
2.0565,1.9329,3.4391,1.221,-0.7588,-0.5751,-0.0279,0.8888,0.2569,0.1497
0.9212,2.0517,4.0251,0.8984,-0.4623,-0.239,-0.0978,1.076,0.0044,0.3245
1.7157,2.4543,2.6615,1.6152,-0.3147,-0.3325,-0.5488,0.9229,-0.1001,0.5559
1.7297,1.1837,2.6557,1.5444,-0.7117,-0.7762,-0.3535,1.0022,0.2589,0.4025
1.4074,1.5642,3.5612,1.1905,-0.1307,-0.6338,-0.1097,1.5007,0.0392,0.2871
1.2222,1.4076,3.2009,1.4703,-0.4245,-0.589,-0.0886,1.0005,0.0188,0.5458
0.822,1.7119,2.6283,1.3098,-0.1161,-0.5118,-0.2355,0.9893,0.3291,0.5323
1.6302,2.5476,3.6091,1.3915,-0.346,-0.2907,-0.4881,0.7803,0.2232,0.6409
0.7582,1.3653,3.2257,1.3037,-0.481,-0.8753,0.0796,1.1924,0.0359,0.3499
1.4138,1.2594,2.172,1.2672,-0.9557,-0.7017,0.243,0.3825,0.1939,0.4035
1.5639,1.5368,3.2279,1.5461,-0.5283,-0.806,0.0899,1.5434,-0.7702,0.1529
1.5032,1.901,2.7957,1.7545,-0.7363,-0.2391,-0.2388,0.705,-0.4021,0.6848
1.4423,2.0027,2.2864,1.7194,-0.2321,-0.6163,-0.5133,1.3944,0.756,0.7177
2.0629,2.141,5.6792,1.2492,-0.5378,-0.3268,-0.1207,0.9151,-0.4043,0.2511
1.5163,2.7172,3.9136,0.4658,-0.259,-0.7734,-0.0567,0.8759,0.1688,0.2614
1.5883,1.6628,3.7424,1.5449,-0.1037,-0.4217,-0.0675,1.0053,0.3693,0.6062
1.2319,1.613,2.9404,1.7362,-0.2971,-0.5044,-0.4856,1.3211,-0.3528,0.5149
1.2247,2.3389,4.5853,1.2059,-0.4224,-0.6047,-0.3585,0.9299,0.0471,0.4499
1.1564,1.2234,2.3254,1.4747,-0.94,0.0529,-0.4186,0.7423,-0.5145,0.5928
1.4966,1.7675,5.2485,1.0387,-0.4478,-0.4585,-0.1278,0.707,-0.009,0.5823
0.8477,0.9491,4.5394,1.3327,-0.3309,-0.1968,-0.2901,0.8163,-0.0768,0.4841
1.1825,1.8852,2.9916,1.32,-0.6309,-0.3767,-0.2149,1.0836,-0.4968,0.6929
0.8578,1.3367,3.2012,1.9875,-0.0606,-0.652,-0.1203,0.9405,0.756,0.6472
1.2288,2.0181,3.3564,1.5225,-0.2405,-0.152,-0.5365,1.1757,-0.2225,0.3491
1.2703,1.0162,3.4485,1.5127,0.1023,-0.5671,-0.3045,0.9311,0.0088,0.7938
1.7915,1.9508,4.2357,1.3296,-0.3317,-0.0544,-0.0694,0.8886,-0.3995,0.3231
2.0367,2.2908,3.7863,1.2357,-0.2519,-0.4894,-0.165,0.8626,-0.0324,0.3848
1.4945,1.3462,2.6003,2.7055,-0.243,0.0777,-0.2952,1.4681,-0.0604,0.5144
1.1779,1.5653,2.3399,1.395,-0.0233,-0.6502,-0.0704,1.4602,-0.1207,0.4107
1.1904,1.3429,2.5084,1.5375,-0.63,-0.6203,-0.3111,1.1323,0.228,0.3657
1.1708,1.2929,2.2891,1.5455,-0.396,-0.9964,-0.0938,1.219,0.7896,0.5155
1.0167,1.6935,4.6001,1.4388,0.0918,-0.4221,-0.0567,1.1455,0.0866,0.5148
1.1232,2.548,4.0643,0.7691,-0.3402,-0.7331,-0.1796,0.4438,0.2907,0.5596
0.7512,1.2082,3.2453,1.516,0.0275,-0.0841,-0.0969,1.3889,-0.3702,0.5352
1.3508,1.8568,2.4647,1.811,-0.423,-0.2948,-0.4297,1.2052,0.166,0.6722
0.3436,1.2258,3.1036,2.0473,-0.3824,0.1212,-0.9821,1.5764,-0.1485,0.6052
1.5967,1.4961,3.0163,1.0991,-0.57,-0.465,0.0249,0.8967,0.0773,0.3794
1.6767,2.1715,3.93,0.8803,-0.2915,-0.176,-0.025,1.2077,-0.1948,0.1775
1.1118,1.8528,3.9265,1.2304,-0.3664,-0.5182,-0.2778,1.2386,0.1815,0.51
0.8027,1.935,3.0944,1.7848,-0.3843,-0.1854,-0.4355,1.2595,-0.4209,0.4008
0.7115,2.063,3.8599,1.5816,0.067,-0.1935,-0.5583,1.2124,0.2782,0.7405
1.3443,2.3893,3.2679,1.3052,-0.4445,-0.5193,-0.414,1.0318,0.8437,0.4375
1.0543,1.6694,1.9801,1.7356,-0.513,-0.65,-0.3184,0.9122,0.7609,0.8977
1.285,1.2369,2.7979,1.2067,-0.2604,-0.4884,0.2414,1.0176,-0.098,0.3618
1.0693,2.1136,2.3242,1.2685,-0.5123,-0.535,-0.5621,0.8891,0.5935,0.4859
1.9011,2.1982,3.5884,1.7707,-0.4257,-0.5135,-0.0947,0.902,0.3819,0.3349
0.9385,1.4393,2.688,2.1659,-0.1519,-0.1232,-0.488,1.2807,-0.2442,0.7084
0.8513,1.7547,2.5723,2.0238,-0.9349,-0.4682,-0.4562,0.7066,0.5279,0.6259
1.7839,1.3939,3.4874,1.3313,-0.092,-0.9068,0.0345,0.9482,0.5253,0.4337
0.8807,1.0448,2.6656,2.56,-0.4518,-0.5092,-0.8805,1.5855,0.264,0.994
1.6715,2.0474,2.953,1.8645,-0.4489,-0.6834,-0.2791,1.0488,-0.0175,0.5341
1.6456,1.5104,3.1399,1.675,-0.2694,-0.6837,-0.072,1.0348,0.1652,0.3046
1.2654,1.1852,1.8565,2.0469,-0.1888,-1.2444,-0.3737,2.0011,0.1445,0.1442
1.5533,1.7035,3.1708,1.4174,-0.348,-0.2963,-0.5388,1.0433,-0.0217,0.8041
